기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",28946.0,2709,255548.7,775261,-772552
"2021-05","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",28.1,64,8661.2,22580,-22515
"2021-06","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.3,15,7806.1,19856,-19841
"2021-07","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",2.1,15,6668.8,17687,-17672
"2021-08","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",3.3,56,8070.6,23478,-23422
"2021-09","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",10.3,59,6145.4,25034,-24975
"2021-10","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",39.1,240,5394.7,24530,-24290
"2021-11","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.4,19,9058.5,51159,-51140
"2021-12","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.2,14,8701.1,57227,-57213
"2022-01","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",26719.4,1102,9504.4,61517,-60415
"2022-02","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",3.4,49,9969.1,64278,-64229
"2022-03","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",5.8,58,5734.7,35762,-35703
"2022-04","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.5,29,2460.7,14323,-14294
"2022-05","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",543.9,86,8276.7,27090,-27005
"2022-06","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",4.2,60,5818.4,18755,-18694
"2022-07","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.3,31,4616.3,12019,-11987
"2022-08","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",216.1,27,7590.4,18454,-18427
"2022-09","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",195.9,216,4443.4,10275,-10059
"2022-10","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.1,6,4598.7,10389,-10383
"2022-11","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",2.4,59,5279.7,12311,-12253
"2022-12","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",1110.9,28,4692.2,10300,-10272
"2023-01","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",3.2,47,3313.6,7633,-7586
"2023-02","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.5,35,7541.3,17089,-17053
"2023-03","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",7.1,25,5652.1,13199,-13174
"2023-04","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",16.6,27,5342.0,12875,-12848
"2023-05","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.2,13,11552.3,25061,-25047
"2023-06","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",3.2,45,4244.4,9287,-9242
"2023-07","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.1,4,8725.6,17805,-17800
"2023-08","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.3,16,9550.0,18879,-18863
"2023-09","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",5.1,49,11577.7,20369,-20320
"2023-10","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",5.3,51,7651.0,13630,-13578
"2023-11","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.1,4,6034.8,10749,-10744
"2023-12","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",2.6,33,6783.2,11570,-11538
"2024-01","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.2,12,9211.4,16147,-16135
"2024-02","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",0.3,14,6469.0,11671,-11657
"2024-03","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",10.3,48,9511.5,16674,-16626
"2024-04","8111","망간과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]",4.1,51,8897.8,15605,-15554